Date,Time,Temperature(°C),Interval(in minutes)
2025-07-31,07:54:08,-,5 min
31-07-2025,07:54:08,24.4,5
31-07-2025,07:59:08,24.4,5
31-07-2025,08:04:08,24.3,5
31-07-2025,08:09:08,24.3,5
31-07-2025,08:14:08,24.3,5
31-07-2025,08:19:08,24.3,5
31-07-2025,08:24:08,24.4,5
31-07-2025,08:29:08,24.4,5
31-07-2025,08:34:08,24.4,5
31-07-2025,08:39:08,24.5,5
31-07-2025,08:44:08,24.5,5
31-07-2025,08:49:08,24.6,5
31-07-2025,08:54:08,24.6,5
31-07-2025,08:59:08,24.6,5
31-07-2025,09:04:08,24.6,5
31-07-2025,09:09:08,24.6,5
31-07-2025,09:14:08,35.9,5
31-07-2025,09:19:08,35.7,5
31-07-2025,09:24:08,35.3,5
31-07-2025,09:29:08,36.1,5
31-07-2025,09:34:08,35.7,5
31-07-2025,09:39:08,33.7,5
31-07-2025,09:44:08,32.9,5
31-07-2025,09:49:08,33.0,5
31-07-2025,09:54:08,33.6,5
31-07-2025,09:59:08,35.9,5
31-07-2025,10:04:08,36.4,5
31-07-2025,10:09:08,36.5,5
31-07-2025,10:14:08,36.5,5
